Video Title,View Count,Like Count (of video),Comment Count,Text Display,Author Display Name,Like Count (of comment),Reply Count (of comment)
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,horrible jean,@supahotkittyz,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,poverty group,@supahotkittyz,0,2
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,new jean hit,@luis_hp986,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,eta,@Joao-qq6zm,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,eta soty,@nosuw,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,spotify stream bunny week feb 25th god 1127m stream eta 1837m stream cool 1337m stream super shy 4572m stream omg 6151m stream ditto 5582m stream cookie 2064m stream hype boy 4903m stream attention 3497m stream,@ItzAndy971,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,actos kpop ma reproducidos spoty transmisiones diarias actuales newjeans 37b6m soprano ganadora grammy sumi jo mencionó nj preguntaron idol gustan días,@lizzyoregel5841,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,784k,@nayefacil2791,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,wait actually doeseta mean,@VarickHuang,1,1
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,썸네일 개극혐인데,@Yurdlee,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,언니들 예뻐요,@user-dc8hx1jr7j,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,사랑해요,@user-dc8hx1jr7j,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,hannis smile cute,@michelleceleste2047,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,guy attention year ago,@katanari,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,와쳐 이티에,@co-maze,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,pov got cheated wearing skinny jean jkjk,@creamluvsyou,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,하니 졸귀,@user-cr4fr8sn7z,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,gustaría celular iphone usan chicas video musical,@usuario123usuario,3,1
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,ay got ginny ginny georgia,@Orangetabby.,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,amika date cuenta,@nosuw,2,1
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,felicidades hanni roba protagonismo desfile gucci semana moda milán elenco avatar habla música escuchando mencionaron nj nueva entrevista sion yushi nct bailaron omg práctica show osaka,@lizzyoregel5841,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,eta ate,@lovemejen,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,etaamiga date cuenta,@jossdax,9,0
