Video Title,View Count,Like Count (of video),Comment Count,Text Display,Author Display Name,Like Count (of comment),Reply Count (of comment)
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,뉴 와퍼에 왕관을 씌우면서 앞으로가 더 기대되는 뉴 와퍼를 잘 표현해주신거 같아요 불맛의 왕 뉴 와퍼 정말 기대됩니다,@clwiyiii,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,새롭게 등장하면서 더욱 촉촉해진 폭신한 글에ㅣ즈 번을 보라 패티를 신경쓰는 곳은 많은데 은근 번을 신경 쓰는 곳은 별로 없는 거 같더라고요 우리의 버거킹은 역시 이름값을 하네요 글레이즈 번이라니 불맛나는 두툼한 패티와 더욱 쵹쵹해진 글레이즈 번을 한입에 베어문다면 그게 행복이죠 암요 ㅠ 거기다 도톰한 감자튀김을 케찹에 듬뿍 찍어 뇸뇸 다음엔 감튀와의 조합도 자랑해주세요 있으면 서로 열배로 더 맛있어보이그든여 ㅜ 왕관을 멋드러지게 쓴 장면을 보니 더욱 군침이 싸악 도네요 지금 배고파서 두배로 맛있어 보이는 건 함정 강렬한 불맛의 향연을 저도 입안 가득 느끼고 싶네요 요새 나오는 수제버거는 노노 저렇게 한입 가득 베어물고 먹는 갓나온 와퍼가 제일 맛있어요 맨날 버거만 먹다가 어렸을 적 친구가 처음 맛있다며 데려간 버거킹을 잊지 못해요 뒤로 햄버거는 고민않고 무조건 버거킹으로 직행합니다 시간이 흘렀어도 내 마음은 그대로 역시 햄버거는 버거킹이죠 오늘 저녁은 버거킹이다,@marijoaaa,1,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,크 왕위의 왕이라니 역시 와프는 와퍼 뉴 와퍼에 귀여운 왕관이라니 저대로 나오면 좋겠어요,@user-mu1nz5fw6l,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,강감찬장군님의 등장이라니 더 강렬해졌네요,@user-um2gj1yy7m,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,불맛이 강해져 돌아온 비주얼 미쳤 불타오르는 뉴 와퍼 기존의 와퍼도 맛있었는데 더 맛있어지고 가격도 동결이면 사랑할 수 밖에 없죠 40주년 기념으로 소비자를 위해 한걸음 더 나아간 뉴 와퍼 지금처럼 앞으로도 단종은 절대 노노 오래도록 있어줘요 100년200년도 가야한다구,@DW_KIM,1,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,킹 오브 킹 버거킹 뉴 와퍼 매일매일 먹고 싶은맛 뉴 와퍼가 오래오래 많은 사랑 받기를 응원하고 버거킹 더 많이 먹겠습니다,@himnae90,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,더 강렬해진 불맛의 왕 너무 맛있어 보이네요 왕관을 쓴게 귀여워요 패티랑 번이 업그레이드됐다고 들었는게 바꼈는지 한번 먹어봐야 겠어용,@ocd6202,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,더 강렬해진 불맛의 왕 뉴 와퍼 좋아요 홧팅 자주 소통하고 많은 이야기 나누자구여,@eunbitfox,1,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,마지막으로 돌아가는 먹음직스러운 와퍼 순간 모델보고 눈을 의심ㅋㅋㅋㅋㅋ 왕 중의 왕 자리릴 이제 최수종이 아니라 버거킹 와퍼가 차지하는 군요 솔티 페퍼가 촤르륵 뿌려지는 장면 그것도 모자라 불맛을 가득 입힌 패티를 뽐내는 장면 이걸 보고도 군침이 안 흐를 수 있겠습니까 화룡점정으로 얼굴 가득 채우는 빅싸이즈 ㅠㅠ 요즘같은 고물가시대에 저리 커다란 와퍼 사이즈라면 배 한가득 든든하게 채우고 마음 언저까지 든든하게 먹고 돌아갈 수 있을 같소이다 진심 와퍼 종료된다는 말 듣고 버거킹 국내 매장 철수도 아니고 와퍼만 종료 버거킹에서는 이제 뭘 팔지 싶었는데 뉴와퍼가 새롭게 등장한다니 말을 들은 순간 들었던 압도적인 안도감을 말로 다 표현할 수 없소이다 잠시였지만 다시 돌아와주어서 감사하오 와퍼씨 앞으로는 더 자주 보도록 하겠소 당신이 사라진다는 소식을 듣고서 느낀 크나큰 상실감을 통해 당신의 존재가 내게 큰 위안을 주는 것이었는지 새삼 깨달았소 다시는 떠나지 마씨오 ㅜㅜ,@lovelovelove120,1,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,뉴와퍼의 탄생할때 동시대에 살고있다니 너무 행복하네요 ㅋㅋㅋㅋ 완전 먹어보고싶어요 왕관도 주나여 히히히 ㅋㅋ,@Queengodking,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,더 강력해진 물맛의 맛으로 남들보다 더 강력하게 더 화끈한 불맛의 매력이 물씬 이것이 불맛의 정석,@user-lt6vz5ww8b,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,진짜 버거킹에서 새로 나온 뉴와퍼에 대한 기대감이 이렇게 커질 줄은 몰랐어요ㅠ 평소에도 와퍼의 열렬한팬이긴 했지만 이번에 새롭게 출시된다는 소식을 듣고나니 더 기대가 되더라고요 특히 불맛에 환장하는 저로서는 꼭 먹어볼거에요 ㅋㅋㅋ 맛있는 소고기엔 불이랑 소금후추면 끝이죠 ㅠㅠ,@poqlove,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,뉴 와퍼에 왕관 올려 놓는 순간 뉴 와퍼 먹으면 나도 왕이 될 수 있을 같은 설렘 촉촉하고 쫄깃한 햄버거빵 텐더폼 성형을 사용한 패티 솔트와 페퍼 시즈닝 추가 진한 불맛에 소고기 패티의 풍부한 육즙 기대 많이 되네요,@skonoff,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,새로운 불맛의 왕이라니진짜진짜로 꼭 찾아서 내가 먹는다영상 기획자 인센주세요,@orozy0831,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,더 강렬해진 불맛의 왕 뉴 와퍼의 탄생 ๑ᵔᵔ๑ 최고의 순간에 하고 싶네요 ୧ʕᴥʔ୨,@user-vx2eq1no3o,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,우리나라 대표왕 킹수종님이 인정한거면 이건 인정이지 뉴 와퍼 역시 버거킹이 킹맛 입니다,@Dcometure,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,뒤에 맥도날드 모자이크 뭐냨ㅋㅋㅋㅋㅋㅋㅋ,@Mysoul2322,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,소고기 육즙을 가득 품은 덴더폼패티 와우 영상 보자마자 군침이너무 패티 자체가 버거킹 저의 최애 햄버거 입니다 와퍼와 버거 번이 촉촉함과 탄력을 높이기 위해 글레이징 과정을 추가한 것은 훌륭한 선택입니다 이는 맛과 식감을 높여주어 더욱 맛있는 경험을 선사할 것입니다 와퍼 패티의 텐더폼 성형 프로세스는 공기층을 만들어 육즙을 잘 가둬놓아 식감을 더 부드럽고 폭신하게 만들어줍니다 솔트페퍼 시즈닝의 추가는 플레임 그릴 직화 패티의 불맛과 풍미를 더욱 강조해주며 전체적인 밑간의 밸런스도 개선되었습니다 개선 사항들은 버거의 품질과 맛을 높여주어 고객들에게 더욱 만족스러운 경험을 제공할 같네요 기대합니다,@user-uf3xx6di3y,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,소고기 육즙을 가듬 품은 패티 폼 미쳐따리 ㅎㅎ 버거킹의 역대급 어그로였지만 제품 리뉴얼은 성공적이더라구요 완전 맛있어요,@creedrocky,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,마침내 더 강렬해진 불맛을 가지고 리뉴얼돼서 돌아온 뉴 와퍼 왕관이 씌어진 모습을 보니까 더 먹어보고싶어지네요 없어진다고 카톡알림 왔을 철렁했어요ㅠㅠ 클래식은 언제나 와퍼 맛도 외관도 업그레이드 되어 돌아온 같아서 버거킹가면 와퍼부터 먹어봐야겠어요,@yv5322,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,뉴 와퍼에 왕관 수여식 ㅋㅋㅋ,@souvenirshopp,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,칼자루 공중에 던졌다가 다시 잡는 모습이 뉴 와퍼 패티가 구워지는 장면 같았어요 이제 불맛을 따르라,@user-dg7fb8hl5i,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,157초 육즙 가득 텐더폼 패티 보는데 저도 모르게 침이 꼴깍 넘어가네요 다시 돌아온 와퍼 요즘 신나게 먹고 있어요,@user-catpinklk,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,더욱 강렬해진 불맛의 왕 뉴 와퍼 버거킹 없던 지방에 살아서 서울에 와서 처음 먹어봤던 버거킹 와퍼 먹고 정말 충격받았던 기억이 나네요 너무 맛있어서 서울 올 때마다 사먹었던 와퍼인데 사라진다고 해서 1차 충격 사실이 아니었다고 해서 정말 다행이던지 버거는 와퍼만 먹는 저에게 불맛의 왕 뉴 와퍼도 너무 맛있어보여요,@perkyhm,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,불맛이 아주 뛰어나리라 기대하고 있습니다 새롭게 나온만큼 맛있는 와퍼를 먹게되리라 기대해요,@bonglimi,1,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,최수종님이 불맛의 왕이시여 할 대박 불맛의 너무 기대되면서 너무 먹고 싶었어요 장,@user-zb8hm8ed8h,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,소고기 육즙 가득 품은 텐더폼 패티 존맛일듯요,@user-ps2gb3ex1j,1,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,더 강렬해진 불맛의 왕 뉴 와퍼 많은분들에게 사랑받는 채널이 되길 두손 모아 응원해요,@jangsungjooo,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,노릇노릇 육즙 가득 머금은 소고기 패티를 보노라니 군침이 도는군요 역시 버거킹의 매력은 이거죠 더 화끈하게 돌아온 뉴와퍼 사랑합니닷,@user-pv8qn7pg6m,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,더 강렬해진 불맛의 왕 뉴 와퍼에 왕관이 쓰여진 모습이 가장 먹고 싶게 만드네요 왕관이 주는 뉴 와퍼의 위엄 불맛이 더 진하다니 기대 안고 버거킹 매장으로 달려가야겠어요,@mbepmom,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,수종님 께서 버거킹 광고에서 만나뵈어서 깜짝 놀랬고 이렇게 잘 어울리는 분이 계셨나라는 생각이 들었네요 성공적인 버거킹 데뷔를 축하 dream 니다,@user-zs7mr3vq8r,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,왕관 쓴 뉴와퍼 글레이즈드번에 텐터폼패티 솔트페퍼 시즈닝은 사랑입니다,@ctctb,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,진짜 킹 받게 광고 잘 만들었어요 ㅋㅋㅋㅋㅋㅋ 와퍼 단종 소식에도 킹 받았는데 진짜 애증의 버거킹,@pepe_love,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,강감찬 장군님 ㅋㅋ 파이팅 앞으로도 계속 응원하겠습니다,@hanhulk_,1,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,추천,@ksyangela11114,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,진짜 형이 거기서 나오는 거냐고 ㅋㅋㅋㅋ 폐하 왕위를 계승중입니다 왕위를 계승 중,@user-yl4hs9ec9t,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,불맛이 더 잘 느껴지는 솔트페퍼 시즈닝 와퍼 판매 종료로 울 뻔했는데ㅠㅠ 뉴 와퍼로 돌아와서 환영해요,@jinah_song,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,왕관 쓴 버거 비쥬얼 대박 침 넘어가네요,@mamboya7777,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,와퍼에 왕관을 씌여 즉위를 하는 장면 햄버거의 왕위를 너무 잘 이었구나,@user-wt2io2bp3y,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,소기기 육즙을 가득 품은 텐더폼 패티 활활 타오르는 강력한 불 맛 너무 기대되네요,@skfo1336,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,뉴와퍼 왕좌의 자리로 많은 분들의 사랑과 관심,@MrKim0516,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,뉴 와퍼 왕관이 씌워지는 순간 새로운 왕의 탄생이 되는 멋진 장면을 보니까 뉴 와퍼가 너무 먹고 싶어요,@1004th,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,불 속에 있는 와퍼를 보니 뭔가 더 강력해져 돌아온 느낌 ㅋㅋㅋ 처음엔 와퍼 단종이라는 단편적인 기사를 보고 걱정했는지 전 술 마신 다음날 해장을 와퍼로 하는데 없으면 숙취는 누가 책임지나 했어요ㅎㅎ 새로워진 불맛의 왕 뉴 와퍼 앞으로 더욱 더 큰 사랑 듬뿍 받으며 곁에 오래도록 하길 바라요,@BTS_VHOLIC,2,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,들썩이는 패티를 보니 군침 도네요,@user-by8yk4pu5v,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,맥도날드 모자이크ㅋㅋㅋㅋ 버거킹 광고 센스있게 잘 만들었네요,@cherrycard2,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,불속에서 더욱 강렬해지고 있는 불맛의 왕 뉴 와퍼 와퍼의 진화는 계속 된다 쭈욱,@Ok-House82,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,버거킹 40년 만에 와퍼 판매 종료 말 보자마자 와퍼가 생각나며 새로운 뉴와퍼를 더 기대하게 만드네요 불맛의 왕 뉴와퍼를 기대합니다,@user-pk7bz5cy4m,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,깨가 잔뜩 뿌려진 번 정갈하게 정돈된 듯한 양상추 토마토 양파 피클 거기에 그릴 자국이 남아 있는 패티까지 햄버거의 정석이란 것이다를 보여주는 모습 같아요,@jimini293,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,안그래도 와퍼가 없어진다는 말을 듣고 믿을 수가 없었는데 비쥬얼 업 맛도 업되어서 새로 탄생한 뉴와퍼라니 눈이 번쩍 뜨이네요 특히 소고기 육즙을 가득 품은 패팅 폼 미쳤다이 뉴와퍼 반가워요 역사를 다시 쓰자,@LOLTOT88,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,40년은 함께한 와퍼가 가고 이제 불맛의 왕 뉴 와퍼가 탄생했네요 불맛 가득 느끼면서 먹을 수 있어서 강감찬 장군도 강추하는 킹 뉴 와퍼 기대가 되고 빨리 먹으러 가야 겠네요 불맛의 왕인 뉴 와퍼가 강감찬 장군 앞에 놓일때 먹고 싶어지네요,@ole_ole_oo,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,그동안 제가 사랑했던 버거킹 와퍼와는 헤어졌지만 더 강력한 뉴 버거킹 와퍼가 탄생하다니 박수박수 글레이즈드번에 불맛소고기 육즙이 가득한 패티라니 너무 좋네요 뉴 와퍼 비주얼 최고다 뉴와퍼 왕국의 시대가 도래했다,@user-cz2pq2dc1b,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,왕관 씌어진 뉴 와퍼 보니 엄청 먹고 싶은 순간이에요,@k_hyedong,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,불맛의 왕이시여 하실때 최수종배우의 눈빛이 새로워진 와퍼 참으로 먹음직스럽도다라고 속으로 말하시는거 같네요 버거킹에서 열심히 개선하신 3가지 변화에 감사드립니다 가격변동도 없다니 소비자로서는 무한감동이네요 불맛의 왕 뉴와퍼 불맛을 따를게요,@jamminiq,0,0
